City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,verkhnevilyuysk,63.4453,120.3167,-9.04,98,100,5.32,RU,1675299345
288,lompoc,34.6391,-120.4579,62.78,67,40,10.0,US,1675298601
289,kjollefjord,70.9457,27.3465,28.45,100,75,4.61,NO,1675298834
290,parkes,-33.1333,148.1833,82.06,25,0,13.65,AU,1675299346
291,isangel,-19.55,169.2667,84.22,73,96,5.01,VU,1675299346
292,uhlove,44.8215,33.6045,39.99,76,89,8.41,UA,1675299347
293,batagay,67.6333,134.6333,-30.55,99,99,0.89,RU,1675299347
294,tyret pervaya,53.6703,102.3106,-9.29,98,98,1.32,RU,1675299348
295,eyl,7.9803,49.8164,73.02,71,1,14.18,SO,1675299348
296,krasnoyarka,55.3333,73.1167,-4.05,100,23,4.14,RU,1675299348
297,geldrop,51.4217,5.5597,47.14,84,100,9.22,NL,1675299349
298,norden,53.6,7.2,43.97,82,100,24.11,DE,1675299349
299,althofen,46.8818,14.4676,33.15,93,100,2.68,AT,1675299350
300,lakes entrance,-37.8811,147.981,76.15,50,94,5.08,AU,1675299350
301,aktas,49.7789,72.9608,4.75,99,51,7.52,KZ,1675298881
302,pokhara,28.2333,83.9833,54.41,10,0,6.02,NP,1675299351
303,adrian,41.8975,-84.0372,18.95,64,0,6.91,US,1675299351
304,menongue,-14.6585,17.691,62.69,93,100,2.53,AO,1675299352
305,deputatskiy,69.3,139.9,-19.17,96,100,3.85,RU,1675299352
306,boshnyakovo,49.6333,142.1667,1.98,75,100,6.26,RU,1675299352
307,olesnica,51.2134,17.3899,37.98,77,100,20.33,PL,1675299353
308,mumford,5.2618,-0.759,77.54,93,1,6.51,GH,1675299354
309,kalush,49.0119,24.3731,32.72,82,63,9.28,UA,1675299354
310,rio do sul,-27.2142,-49.6431,72.39,99,74,1.68,BR,1675299355
311,chapais,49.7834,-74.8492,-0.62,96,100,4.47,CA,1675299355
312,dalbandin,28.8947,64.4101,52.93,53,0,4.52,PK,1675299355
313,katsuura,35.1333,140.3,42.82,37,100,14.34,JP,1675298528
314,khonsa,27.0167,95.5667,56.19,69,0,3.2,IN,1675299356
315,kieta,-6.2167,155.6333,85.57,67,58,8.14,PG,1675298880
316,langsa,4.4683,97.9683,74.44,93,100,2.19,ID,1675299357
317,clyde river,70.4692,-68.5914,-30.77,68,40,5.75,CA,1675299357
318,san fernando,15.0286,120.6898,80.33,70,97,7.81,PH,1675299345
319,port hardy,50.6996,-127.4199,41.18,87,100,27.63,CA,1675299069
320,iskateley,67.6803,53.1512,21.11,91,89,12.5,RU,1675299358
321,berdigestyakh,62.0989,126.6992,-17.16,99,100,1.95,RU,1675299358
322,naranjal,-2.6667,-79.6167,77.4,85,100,2.98,EC,1675299358
323,krasnoborsk,61.5598,45.934,17.74,97,75,4.81,RU,1675299359
324,mount darwin,-16.7725,31.5838,64.78,96,46,2.3,ZW,1675299359
325,gorin,51.1983,136.6669,-11.87,94,76,0.45,RU,1675299360
326,valparaiso,-33.0393,-71.6273,62.24,77,0,3.44,CL,1675299360
327,caravelas,-17.7125,-39.2481,75.56,85,97,5.61,BR,1675299360
328,escanaba,45.7453,-87.0646,19.94,64,100,11.99,US,1675299278
329,srednekolymsk,67.45,153.6833,-24.25,99,99,5.95,RU,1675299361
330,farafangana,-22.8167,47.8333,73.56,86,97,3.42,MG,1675299362
331,udachnyy,66.4167,112.4,-15.97,95,100,8.23,RU,1675298616
